"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_PROLIFERATION",0.0546116504854369,0.161150928513696,-0.535467151433307,-1.47789486291777,269,20,"CycB;lz;Egfr;ush;Su(H);htl;babo;Mef2"
"GOBP_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION",0.0545239035954168,0.161150928513696,0.491402312784623,1.43730760326621,275,27,"Pkg21D;dpp;for;tj;run;so;tkv;bap;Gel;Dad;gbb;Smox"
"GOBP_RESPONSE_TO_FATTY_ACID",0.054324377328888,0.161150928513696,0.426202774062736,1.39616891383106,276,45,"Cat;EcR;emc;Jra;r;dpn;E2f1;Cyp6a8;Cyp6a22;Cyp6a17;Pdk;Ork1;Bap60;Ass"
"GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY",0.0547192839707079,0.161306746935694,-0.367612346004191,-1.34749762611959,268,77,"Abl;arm;asp;salr;rk;Egfr;boca;zfh1;hh;Su(H);otk;htl;Rel;Nle;DAAM;Madm;Tnks;Kank;Smurf;Dd"
"GOBP_HISTONE_MRNA_CATABOLIC_PROCESS",0.0548380687462746,0.161405416467867,0.511305599973637,1.44403562054649,275,23,"SmF;pcm;SmD3;MTPAP;CstF64;Cpsf100;Upf1;Lsm11;Lsm10"
"GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION",0.0548935338933385,0.161405416467867,0.311309874409305,1.2668106388133,280,165,"brm;fzy;Hrb98DE;Hsp83;pho;mr;polo;rl;spn-B;CCT1;Cdk1;nonA;mei-41;Zw10;wapl;CCT5;HLH3B;Cdc27;barr;Lgr1;Rca1;pcm;Sirt1;Mekk1;Dlc90F;Bap60;Bap55;Cdc16;Tip60;Cdlc2;BCL7-like;Mad1;XRCC1;l(1)G0020;CG11970;SMC2;CG3793;robl22E;Nek2;CCT2;Dlic;Upf1;Ndc80;DNAlig4"
"GOBP_SKIN_EPIDERMIS_DEVELOPMENT",0.0549359768690624,0.161405416467867,-0.397183649653449,-1.37708184423703,265,57,"arm;Galphas;Catsup;LanA;rb;rk;Su(var)2-10;Egfr;bs;hh;Su(H);14-3-3zeta;htl;Dif;babo;Vang"
"GOBP_TRANSITION_METAL_ION_TRANSPORT",0.0549722050648548,0.161405416467867,-0.405619959804125,-1.38022296584645,266,52,"Chc;Catsup;rb;shi;Mvl;tty;Rab11;Tsf1;Eaat1;ZnT35C;CG3556;Fer3HCH;MSBP;MRP;Zip42C.1;Zip42C.2;Zip48C;ZnT49B;Tsf3"
"GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY",0.0551948051948052,0.16173617219434,-0.371354160151987,-1.35220228271232,271,74,"aurA;fliI;qua;Pp1-87B;kst;pll;dia;cpb;Moe;tsr;chb;aru;pigs;Rubicon;Tao;Ubqn;Klp31E;cyst;LRR;CG13016;CG8155;Asph;FAM21;CG2812;CG2765"
"GOBP_RESPONSE_TO_MECHANICAL_STIMULUS",0.0551568587246258,0.16173617219434,-0.339893350521877,-1.31387090218737,268,108,"arm;cact;csw;CycB;hth;Mp20;Atpalpha;Pgi;ptc;Cbp53E;TkR99D;hh;mys;Xpc;Dif;RyR;Pxn;Nrx-IV;Rel;Drip;dos;Fak;vig;CalpB;Dronc;Eaat1;htt"
"GOBP_POSITIVE_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT",0.0553149606299213,0.161926979276844,0.436874434563462,1.40764249372462,280,42,"Pka-C1;Hsp83;hyd;pbl;smo;Cdk1;CaMKI;14-3-3epsilon;Ran;Xbp1;Cbp20;bon;p38b;Smox;HDAC3"
